400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJanuary 25, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230125C00330000 2023-01-19 4:14PM EST 330.00 59.00 70.45 71.63 0.00 - - 19 221.48%
SPY230125C00340000 2023-01-18 10:19AM EST 340.00 59.13 60.46 61.58 0.00 - 19 19 192.19%
SPY230125C00355000 2023-01-23 1:52PM EST 355.00 47.50 45.46 46.64 0.00 - 3 0 151.37%
SPY230125C00358000 2023-01-17 3:27PM EST 358.00 40.41 42.46 43.59 0.00 - - 1 141.99%
SPY230125C00360000 2023-01-24 3:27PM EST 360.00 40.61 40.46 41.59 +2.43 +6.36% 26 1 136.38%
SPY230125C00364000 2023-01-19 12:03PM EST 364.00 24.59 36.47 37.65 0.00 - - 1 126.37%
SPY230125C00365000 2023-01-24 11:39AM EST 365.00 35.31 35.42 36.59 +8.16 +30.06% 600 602 121.63%
SPY230125C00366000 2023-01-23 11:28AM EST 366.00 35.14 34.43 35.59 0.00 - 2 2 118.99%
SPY230125C00370000 2023-01-19 2:40PM EST 370.00 21.00 30.47 31.59 0.00 - 1 3 108.35%
SPY230125C00372000 2023-01-24 10:15AM EST 372.00 26.92 28.47 29.65 +3.42 +14.55% 14 3 103.61%
SPY230125C00373000 2023-01-19 3:56PM EST 373.00 16.16 27.47 28.65 0.00 - - 2 100.73%
SPY230125C00374000 2023-01-23 9:47AM EST 374.00 23.20 26.47 27.60 0.00 - 1 4 97.07%
SPY230125C00375000 2023-01-24 4:00PM EST 375.00 25.29 25.47 26.60 +9.34 +58.56% 3 1 94.19%
SPY230125C00376000 2023-01-24 9:51AM EST 376.00 23.52 24.48 25.66 +0.04 +0.17% 2 8 92.33%
SPY230125C00377000 2023-01-24 3:21PM EST 377.00 23.50 23.48 24.60 -1.05 -4.28% 8 2 88.57%
SPY230125C00378000 2023-01-24 3:35PM EST 378.00 21.92 22.43 23.66 -1.14 -4.94% 42 210 85.79%
SPY230125C00379000 2023-01-24 3:08PM EST 379.00 21.71 21.44 22.66 +6.55 +43.21% 37 23 82.96%
SPY230125C00380000 2023-01-24 4:03PM EST 380.00 21.45 20.44 21.60 +1.92 +9.83% 33 114 79.25%
SPY230125C00381000 2023-01-23 10:15AM EST 381.00 17.64 19.48 20.60 0.00 - 2 92 76.81%
SPY230125C00382000 2023-01-24 3:55PM EST 382.00 18.44 18.44 19.66 -0.02 -0.11% 9 20 74.07%
SPY230125C00383000 2023-01-24 2:13PM EST 383.00 17.19 17.44 18.66 -1.36 -7.33% 3 19 71.09%
SPY230125C00384000 2023-01-24 1:59PM EST 384.00 16.86 16.44 17.66 -1.15 -6.39% 214 78 68.07%
SPY230125C00385000 2023-01-24 4:08PM EST 385.00 16.50 15.48 16.61 +1.03 +6.66% 220 622 64.89%
SPY230125C00386000 2023-01-24 2:13PM EST 386.00 14.18 14.44 15.67 +0.24 +1.72% 14 1,322 62.06%
SPY230125C00387000 2023-01-24 3:53PM EST 387.00 13.24 13.49 14.67 -0.21 -1.56% 37 1,064 59.50%
SPY230125C00388000 2023-01-24 3:53PM EST 388.00 12.30 12.48 13.62 +0.33 +2.76% 949 1,504 55.71%
SPY230125C00389000 2023-01-24 4:01PM EST 389.00 11.95 11.46 12.63 +0.36 +3.11% 308 1,748 52.44%
SPY230125C00390000 2023-01-24 4:01PM EST 390.00 11.31 10.47 11.69 +0.81 +7.71% 454 2,463 60.94%
SPY230125C00391000 2023-01-24 4:02PM EST 391.00 10.58 9.48 10.64 +1.01 +10.55% 188 2,622 56.49%
SPY230125C00392000 2023-01-24 4:06PM EST 392.00 9.52 8.49 9.66 +0.43 +4.73% 396 2,504 53.15%
SPY230125C00393000 2023-01-24 4:03PM EST 393.00 8.62 7.56 8.74 +0.53 +6.55% 345 2,619 50.64%
SPY230125C00394000 2023-01-24 4:08PM EST 394.00 7.50 6.55 7.72 +0.35 +4.90% 413 1,348 46.46%
SPY230125C00395000 2023-01-24 4:14PM EST 395.00 6.22 5.61 6.78 +0.26 +4.36% 2,107 4,426 43.34%
SPY230125C00396000 2023-01-24 4:14PM EST 396.00 5.40 4.70 5.50 +0.18 +3.45% 2,226 3,820 35.30%
SPY230125C00397000 2023-01-24 4:14PM EST 397.00 4.37 3.86 5.00 -0.35 -7.42% 5,177 5,292 37.77%
SPY230125C00398000 2023-01-24 4:14PM EST 398.00 3.56 3.04 4.18 -0.07 -1.93% 21,510 6,709 35.40%
SPY230125C00399000 2023-01-24 4:14PM EST 399.00 2.78 2.28 3.25 -0.21 -7.02% 47,476 5,069 31.23%
SPY230125C00400000 2023-01-24 4:14PM EST 400.00 2.21 2.20 2.23 -0.25 -10.16% 135,388 8,821 25.46%
SPY230125C00401000 2023-01-24 4:14PM EST 401.00 1.57 1.63 1.65 -0.37 -19.07% 101,985 7,069 24.20%
SPY230125C00402000 2023-01-24 4:14PM EST 402.00 1.15 1.16 1.19 -0.33 -22.30% 76,340 4,988 23.39%
SPY230125C00403000 2023-01-24 4:14PM EST 403.00 0.81 0.80 0.82 -0.31 -27.68% 50,057 4,184 22.66%
SPY230125C00404000 2023-01-24 4:14PM EST 404.00 0.55 0.54 0.55 -0.27 -32.93% 26,877 4,544 22.22%
SPY230125C00405000 2023-01-24 4:14PM EST 405.00 0.36 0.35 0.36 -0.21 -36.84% 51,141 4,346 21.97%
SPY230125C00406000 2023-01-24 4:14PM EST 406.00 0.21 0.21 0.22 -0.18 -46.15% 19,784 3,268 21.58%
SPY230125C00407000 2023-01-24 4:14PM EST 407.00 0.13 0.12 0.13 -0.14 -51.85% 11,977 3,470 21.39%
SPY230125C00408000 2023-01-24 4:14PM EST 408.00 0.08 0.07 0.08 -0.09 -52.94% 10,889 1,415 21.49%
SPY230125C00409000 2023-01-24 4:14PM EST 409.00 0.05 0.04 0.05 -0.06 -54.55% 7,178 1,500 21.78%
SPY230125C00410000 2023-01-24 4:14PM EST 410.00 0.04 0.03 0.04 -0.04 -50.00% 16,143 10,993 23.05%
SPY230125C00411000 2023-01-24 4:14PM EST 411.00 0.02 0.01 0.02 -0.03 -60.00% 1,510 828 22.66%
SPY230125C00412000 2023-01-24 4:03PM EST 412.00 0.02 0.01 0.02 -0.01 -33.33% 1,235 1,172 24.22%
SPY230125C00413000 2023-01-24 4:13PM EST 413.00 0.01 0.00 0.01 -0.02 -66.67% 9,321 787 24.22%
SPY230125C00414000 2023-01-24 4:08PM EST 414.00 0.01 0.00 0.01 -0.01 -50.00% 4,622 1,265 25.78%
SPY230125C00415000 2023-01-24 3:53PM EST 415.00 0.01 0.00 0.00 -0.01 -50.00% 808 959 12.50%
SPY230125C00416000 2023-01-24 3:56PM EST 416.00 0.01 0.00 0.01 0.00 - 59 1,012 28.91%
SPY230125C00417000 2023-01-24 3:19PM EST 417.00 0.01 0.00 0.01 0.00 - 16 784 30.47%
SPY230125C00418000 2023-01-24 3:29PM EST 418.00 0.01 0.00 0.00 0.00 - 17 72 25.00%
SPY230125C00419000 2023-01-19 9:30AM EST 419.00 0.01 0.00 0.01 0.00 - - 162 33.59%
SPY230125C00420000 2023-01-24 3:56PM EST 420.00 0.01 0.00 0.01 0.00 - 502 961 35.16%
SPY230125C00421000 2023-01-18 2:24PM EST 421.00 0.01 0.00 0.01 0.00 - 135 148 36.72%
