400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforFebruary 2, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230202C00340000 2023-01-24 3:53PM EST 340.00 60.59 60.86 62.09 +10.55 +21.08% 1 0 70.53%
SPY230202C00375000 2023-01-23 2:46PM EST 375.00 25.16 26.12 27.29 0.00 - 1 1 41.36%
SPY230202C00377000 2023-01-23 9:41AM EST 377.00 20.50 24.18 25.35 0.00 - 5 5 39.48%
SPY230202C00379000 2023-01-23 12:44PM EST 379.00 23.12 22.26 23.43 0.00 - 52 51 37.67%
SPY230202C00383000 2023-01-23 12:02PM EST 383.00 19.61 18.53 19.70 0.00 - 1 2 34.50%
SPY230202C00384000 2023-01-20 9:30AM EST 384.00 9.47 17.57 18.74 0.00 - 12 12 33.48%
SPY230202C00385000 2023-01-23 9:35AM EST 385.00 13.65 16.66 17.88 0.00 - 10 468 33.00%
SPY230202C00386000 2023-01-23 11:11AM EST 386.00 17.13 15.77 16.98 0.00 - 1 1,351 32.25%
SPY230202C00387000 2023-01-23 3:45PM EST 387.00 14.74 14.89 16.05 0.00 - 6 1,191 31.31%
SPY230202C00388000 2023-01-23 10:00AM EST 388.00 12.60 14.03 15.17 0.00 - 14 2,108 30.60%
SPY230202C00389000 2023-01-24 11:28AM EST 389.00 13.36 13.18 14.32 +0.67 +5.28% 5 1,452 29.99%
SPY230202C00390000 2023-01-24 2:54PM EST 390.00 12.60 12.35 13.48 +0.71 +5.97% 14 5,225 29.37%
SPY230202C00391000 2023-01-24 3:59PM EST 391.00 11.73 11.58 12.62 +0.43 +3.81% 8 1,556 28.61%
SPY230202C00392000 2023-01-24 4:01PM EST 392.00 11.80 10.79 11.80 +1.05 +9.77% 18 2,000 27.98%
SPY230202C00393000 2023-01-24 9:48AM EST 393.00 9.48 10.02 10.94 -2.06 -17.85% 1 1,342 27.11%
SPY230202C00394000 2023-01-24 3:51PM EST 394.00 9.10 9.27 10.17 -0.57 -5.89% 5 883 26.58%
SPY230202C00395000 2023-01-24 3:57PM EST 395.00 8.65 8.54 9.46 +0.21 +2.49% 28 1,352 26.23%
SPY230202C00396000 2023-01-24 3:31PM EST 396.00 7.78 7.85 8.68 -0.14 -1.77% 49 1,933 25.50%
SPY230202C00397000 2023-01-24 4:01PM EST 397.00 7.85 7.18 8.03 +0.28 +3.70% 219 1,643 25.23%
SPY230202C00398000 2023-01-24 4:13PM EST 398.00 7.00 6.55 7.31 +0.33 +4.95% 1,557 5,509 24.59%
SPY230202C00399000 2023-01-24 4:13PM EST 399.00 6.32 6.31 6.38 +0.19 +3.10% 2,103 4,991 23.01%
SPY230202C00400000 2023-01-24 4:14PM EST 400.00 5.69 5.71 5.76 +0.17 +3.08% 2,201 5,490 22.58%
SPY230202C00401000 2023-01-24 4:11PM EST 401.00 5.39 5.15 5.20 +0.23 +4.46% 2,191 2,722 22.28%
SPY230202C00402000 2023-01-24 4:12PM EST 402.00 4.74 4.61 4.66 +0.16 +3.49% 943 2,935 21.94%
SPY230202C00403000 2023-01-24 4:03PM EST 403.00 4.32 4.11 4.16 +0.38 +9.64% 451 1,919 21.64%
SPY230202C00404000 2023-01-24 4:02PM EST 404.00 3.94 3.64 3.70 +0.32 +8.84% 554 1,421 21.39%
SPY230202C00405000 2023-01-24 4:12PM EST 405.00 3.32 3.21 3.25 +0.22 +7.10% 1,121 1,029 21.05%
SPY230202C00406000 2023-01-24 4:01PM EST 406.00 2.54 2.81 2.85 +0.06 +2.42% 497 939 20.78%
SPY230202C00407000 2023-01-24 3:40PM EST 407.00 2.06 2.44 2.48 -0.28 -11.97% 422 809 20.51%
SPY230202C00408000 2023-01-24 3:11PM EST 408.00 1.97 2.11 2.15 -0.13 -6.19% 663 430 20.29%
SPY230202C00409000 2023-01-24 3:21PM EST 409.00 1.66 1.81 1.86 -0.14 -7.78% 303 479 20.11%
SPY230202C00410000 2023-01-24 4:07PM EST 410.00 1.64 1.54 1.58 +0.17 +11.56% 4,265 1,228 19.84%
SPY230202C00411000 2023-01-24 3:52PM EST 411.00 1.16 1.30 1.34 -0.09 -7.20% 154 518 19.63%
SPY230202C00412000 2023-01-24 4:03PM EST 412.00 1.18 1.09 1.13 +0.13 +12.38% 288 455 19.43%
SPY230202C00413000 2023-01-24 4:01PM EST 413.00 1.00 0.91 0.95 +0.18 +21.95% 373 127 19.28%
SPY230202C00414000 2023-01-24 4:01PM EST 414.00 0.72 0.75 0.78 -0.05 -6.49% 233 274 19.03%
SPY230202C00415000 2023-01-24 3:33PM EST 415.00 0.51 0.62 0.64 -0.15 -22.73% 238 202 18.85%
