400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJune 30, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230630C00255000 2022-12-19 10:46AM EST 255.00 134.29 139.97 142.60 0.00 - 1 2 0.00%
SPY230630C00260000 2022-12-16 1:41PM EST 260.00 128.50 142.20 143.81 0.00 - 3 4 46.93%
SPY230630C00265000 2022-10-27 9:31AM EST 265.00 128.26 141.32 145.39 0.00 - 1 0 56.85%
SPY230630C00270000 2022-10-28 8:34AM EST 270.00 120.59 136.63 140.71 0.00 - 1 0 55.57%
SPY230630C00275000 2023-01-17 2:01PM EST 275.00 128.20 129.75 132.14 0.00 - 6 13 50.35%
SPY230630C00280000 2023-01-24 10:52AM EST 280.00 124.94 124.95 127.33 +6.16 +5.19% 15 79 48.92%
SPY230630C00285000 2022-10-17 8:46AM EST 285.00 95.15 113.99 114.92 0.00 - - 13 0.00%
SPY230630C00290000 2022-12-06 9:37AM EST 290.00 116.99 95.70 97.61 0.00 - 4 15 0.00%
SPY230630C00295000 2023-01-19 1:47PM EST 295.00 101.68 110.61 112.97 0.00 - 3 174 44.79%
SPY230630C00300000 2023-01-24 2:13PM EST 300.00 106.30 105.87 108.21 -1.50 -1.39% 19 1,823 43.45%
SPY230630C00305000 2023-01-23 2:43PM EST 305.00 101.98 101.14 103.47 0.00 - 22 180 42.14%
SPY230630C00310000 2023-01-24 2:19PM EST 310.00 96.90 96.44 98.75 +10.70 +12.41% 4 159 40.85%
SPY230630C00315000 2023-01-24 12:41PM EST 315.00 92.15 91.77 94.06 +5.16 +5.93% 31 176 39.60%
SPY230630C00320000 2023-01-24 12:15PM EST 320.00 87.71 87.13 89.40 +10.21 +13.17% 16 389 38.37%
SPY230630C00325000 2023-01-24 12:14PM EST 325.00 82.92 82.53 84.77 +10.17 +13.98% 2 74 37.17%
SPY230630C00330000 2023-01-23 3:19PM EST 330.00 78.00 77.97 80.18 0.00 - 11 39 36.00%
SPY230630C00335000 2023-01-12 1:01PM EST 335.00 72.45 73.46 75.64 0.00 - 6 803 34.87%
SPY230630C00337000 2022-12-29 11:53AM EST 337.00 61.19 71.67 73.84 0.00 - - 3 34.43%
SPY230630C00338000 2023-01-20 3:55PM EST 338.00 67.50 70.78 72.94 0.00 - 1 26 34.21%
SPY230630C00339000 2023-01-10 3:03PM EST 339.00 62.20 69.89 72.05 0.00 - 1 2 34.00%
SPY230630C00340000 2023-01-20 1:05PM EST 340.00 61.66 69.00 71.15 0.00 - 1 242 33.77%
SPY230630C00341000 2022-11-11 10:43AM EST 341.00 71.84 66.35 67.86 0.00 - - 0 30.21%
SPY230630C00343000 2022-10-20 3:11PM EST 343.00 49.36 68.51 70.32 0.00 - - 744 35.54%
SPY230630C00344000 2022-09-13 8:33AM EST 344.00 77.00 37.26 39.26 0.00 - 4 2 0.00%
SPY230630C00345000 2023-01-24 1:09PM EST 345.00 64.84 64.61 66.72 -1.06 -1.61% 30 59 32.71%
SPY230630C00346000 2022-10-21 2:22PM EST 346.00 53.85 66.17 67.96 0.00 - 2 3 35.21%
SPY230630C00348000 2022-12-21 9:39AM EST 348.00 53.05 58.22 59.60 0.00 - - 2 26.02%
SPY230630C00349000 2023-01-11 3:51PM EST 349.00 58.63 61.15 63.22 0.00 - 3 19 31.88%
SPY230630C00350000 2023-01-23 12:48PM EST 350.00 61.55 60.29 62.35 0.00 - 8 1,031 31.67%
SPY230630C00351000 2022-12-02 3:08PM EST 351.00 70.61 48.99 49.89 0.00 - 12 6 12.36%
SPY230630C00352000 2023-01-17 1:22PM EST 352.00 58.00 58.58 60.63 0.00 - 1 11 31.28%
SPY230630C00353000 2023-01-23 2:25PM EST 353.00 59.05 57.73 59.77 0.00 - 4 6 31.08%
SPY230630C00354000 2022-10-21 11:50AM EST 354.00 46.50 60.08 61.79 0.00 - 2 5 34.34%
SPY230630C00355000 2023-01-24 3:27PM EST 355.00 56.59 56.04 58.06 +3.54 +6.67% 6 101 30.68%
SPY230630C00356000 2022-11-17 10:13AM EST 356.00 55.66 47.20 48.41 0.00 - 1 2 18.70%
SPY230630C00357000 2023-01-17 2:02PM EST 357.00 53.99 54.36 56.36 0.00 - 1,674 291 30.29%
SPY230630C00358000 2022-10-12 2:42PM EST 358.00 36.03 60.43 61.09 0.00 - 1 8 36.55%
SPY230630C00359000 2023-01-23 12:37PM EST 359.00 54.31 52.70 54.68 0.00 - 2 10 29.90%
SPY230630C00360000 2023-01-23 12:37PM EST 360.00 53.46 51.87 53.84 0.00 - 16 253 29.71%
SPY230630C00361000 2023-01-11 3:46PM EST 361.00 48.80 51.05 53.01 0.00 - 1 16 29.52%
