400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforDecember 15, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY231215C00150000 2023-01-23 9:36AM EST 150.00 249.00 252.03 255.50 0.00 - 1 46 65.72%
SPY231215C00155000 2022-12-07 10:30AM EST 155.00 242.00 231.93 234.84 0.00 - 2 3 0.00%
SPY231215C00160000 2021-12-16 3:00PM EST 160.00 305.92 303.54 307.35 0.00 - - 0 177.87%
SPY231215C00165000 2022-10-20 8:37AM EST 165.00 207.50 233.05 235.87 0.00 - 2 0 44.39%
SPY231215C00170000 2023-01-09 4:00PM EST 170.00 222.00 233.29 236.74 0.00 - 1 42 62.28%
SPY231215C00175000 2022-10-19 12:41PM EST 175.00 197.43 223.80 226.60 0.00 - - 2 46.95%
SPY231215C00180000 2022-12-30 1:50PM EST 180.00 204.85 223.89 227.27 0.00 - 2 17 60.23%
SPY231215C00185000 2022-12-14 12:15PM EST 185.00 223.32 216.27 219.45 0.00 - 1 32 55.22%
SPY231215C00190000 2022-12-27 3:32PM EST 190.00 198.02 214.44 217.82 0.00 - 3 10 58.12%
SPY231215C00195000 2023-01-17 2:16PM EST 195.00 207.50 209.71 213.10 0.00 - 2 26 57.06%
SPY231215C00200000 2023-01-24 12:37PM EST 200.00 205.00 204.70 208.38 -2.67 -1.29% 25 220 55.67%
SPY231215C00205000 2023-01-20 2:27PM EST 205.00 194.68 200.29 203.67 0.00 - 2 13 54.99%
SPY231215C00210000 2023-01-20 11:40AM EST 210.00 188.05 195.59 198.97 0.00 - 1 34 53.98%
SPY231215C00215000 2022-09-07 8:30AM EST 215.00 181.40 162.11 166.35 0.00 - 1 5 0.00%
SPY231215C00220000 2023-01-23 12:17PM EST 220.00 187.40 186.20 189.59 0.00 - 1 16 51.98%
