400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforMarch 21, 2025
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY250321C00180000 2023-01-18 1:57PM EST 180.00 221.70 225.50 230.50 0.00 - 20 50 46.18%
SPY250321C00185000 2022-12-27 2:22PM EST 185.00 207.33 221.00 226.00 0.00 - 9 4 45.50%
SPY250321C00190000 2022-12-27 11:48AM EST 190.00 204.38 216.50 221.50 0.00 - 4 1 44.81%
SPY250321C00200000 2023-01-13 12:15PM EST 200.00 206.25 208.00 213.00 0.00 - 1 63 43.99%
SPY250321C00210000 2023-01-23 2:40PM EST 210.00 201.14 199.50 204.50 0.00 - 11 3 43.09%
SPY250321C00215000 2023-01-23 1:47PM EST 215.00 198.26 195.00 200.00 0.00 - 2 1 42.35%
SPY250321C00240000 2022-12-14 10:54AM EST 240.00 181.32 168.94 178.94 0.00 - - 1 39.93%
SPY250321C00245000 2023-01-23 11:34AM EST 245.00 171.90 169.50 174.50 0.00 - 2 4 39.21%
SPY250321C00250000 2023-01-23 2:03PM EST 250.00 168.96 165.50 170.50 0.00 - 1 27 38.85%
SPY250321C00255000 2023-01-23 11:07AM EST 255.00 164.44 161.50 166.50 0.00 - 1 3 38.46%
SPY250321C00260000 2023-01-03 9:58AM EST 260.00 145.38 157.00 162.00 0.00 - - 10 37.69%
SPY250321C00280000 2023-01-23 11:16AM EST 280.00 144.33 141.00 146.00 0.00 - 1 2 35.95%
SPY250321C00285000 2023-01-03 3:51PM EST 285.00 126.50 137.00 142.00 0.00 - 1 2 35.48%
SPY250321C00290000 2022-12-23 2:28PM EST 290.00 124.00 129.00 134.00 0.00 - 1 2 32.44%
SPY250321C00295000 2022-12-22 12:35PM EST 295.00 113.00 125.00 130.00 0.00 - - 1 32.01%
SPY250321C00300000 2023-01-09 9:32AM EST 300.00 121.00 125.50 130.50 0.00 - 1 5 34.29%
SPY250321C00305000 2022-12-15 9:31AM EST 305.00 122.00 117.45 127.45 0.00 - - 1 34.32%
SPY250321C00310000 2022-12-15 12:49PM EST 310.00 114.59 113.77 123.77 0.00 - - 5 33.95%
SPY250321C00320000 2022-12-23 3:09PM EST 320.00 103.00 106.50 111.50 0.00 - 1 25 30.46%
SPY250321C00325000 2022-12-30 3:44PM EST 325.00 98.42 107.00 111.50 0.00 - 1 1 32.08%
SPY250321C00330000 2023-01-09 10:04AM EST 330.00 100.00 103.00 108.00 0.00 - 3 5 31.75%
SPY250321C00335000 2023-01-05 1:00PM EST 335.00 89.70 99.50 104.50 0.00 - 1 2 31.41%
SPY250321C00340000 2023-01-23 12:15PM EST 340.00 98.25 96.00 101.00 0.00 - 1 3 31.04%
SPY250321C00345000 2023-01-06 3:38PM EST 345.00 88.09 92.50 97.50 0.00 - 3 7 30.66%
SPY250321C00350000 2023-01-12 3:35PM EST 350.00 90.38 89.00 94.00 0.00 - 2 8 30.25%
SPY250321C00355000 2022-12-22 2:14PM EST 355.00 77.50 82.50 87.50 0.00 - - 3 28.39%
SPY250321C00360000 2023-01-19 9:30AM EST 360.00 77.99 82.50 87.00 0.00 - 1 22 29.40%
SPY250321C00365000 2023-01-18 12:26PM EST 365.00 77.50 79.00 84.00 0.00 - 1 6 29.17%
SPY250321C00370000 2022-12-23 9:37AM EST 370.00 68.15 72.50 77.50 0.00 - 1 3 27.31%
SPY250321C00375000 2023-01-20 2:55PM EST 375.00 71.00 72.50 77.50 0.00 - 3 15 28.43%
SPY250321C00380000 2023-01-23 12:32PM EST 380.00 70.50 69.50 74.00 0.00 - 4 64 27.92%
SPY250321C00385000 2023-01-23 10:32AM EST 385.00 68.55 66.00 71.00 0.00 - 1 19 27.62%
SPY250321C00390000 2023-01-24 11:38AM EST 390.00 68.50 63.00 68.00 +1.44 +2.15% 3 41 27.29%
SPY250321C00395000 2023-01-23 3:12PM EST 395.00 64.00 60.00 65.00 0.00 - 2 29 26.93%
SPY250321C00400000 2023-01-17 2:57PM EST 400.00 58.63 57.00 62.00 0.00 - 102 196 26.56%
SPY250321C00405000 2023-01-06 3:51PM EST 405.00 55.50 54.00 59.00 0.00 - 36 24 26.17%
SPY250321C00410000 2023-01-12 9:40AM EST 410.00 52.15 51.50 56.50 0.00 - 1 19 25.96%
SPY250321C00415000 2023-01-12 10:33AM EST 415.00 48.50 48.50 53.50 0.00 - 1 5 25.52%
SPY250321C00420000 2023-01-20 1:37PM EST 420.00 44.30 46.00 51.00 0.00 - 2 6 25.27%
SPY250321C00425000 2022-12-27 1:40PM EST 425.00 43.02 43.00 48.00 0.00 - 22 26 24.78%
SPY250321C00430000 2023-01-18 3:16PM EST 430.00 38.06 40.50 45.50 0.00 - 2 4 24.48%
SPY250321C00435000 2022-12-22 12:21PM EST 435.00 35.83 36.00 41.00 0.00 - - 3 23.29%
SPY250321C00440000 2022-12-30 1:49PM EST 440.00 35.00 35.50 40.50 0.00 - 2 7 23.79%
SPY250321C00450000 2023-01-11 3:55PM EST 450.00 34.00 30.50 35.50 0.00 - 7 77 23.00%
SPY250321C00455000 2022-12-27 9:30AM EST 455.00 26.73 28.50 33.50 0.00 - 11 12 22.78%
SPY250321C00460000 2023-01-12 10:34AM EST 460.00 28.66 26.00 31.00 0.00 - 21 24 22.30%
SPY250321C00465000 2023-01-11 3:18PM EST 465.00 27.60 24.00 29.00 0.00 - 4 24 22.02%
SPY250321C00470000 2023-01-23 3:45PM EST 470.00 23.01 22.00 27.00 0.00 - 2 3 21.70%
SPY250321C00480000 2023-01-23 12:37PM EST 480.00 22.00 18.50 23.50 0.00 - 1 7 21.21%
SPY250321C00490000 2022-12-19 11:44AM EST 490.00 19.00 13.50 18.50 0.00 - 1 3 19.84%
SPY250321C00495000 2022-12-21 10:48AM EST 495.00 17.06 13.00 18.00 0.00 - - 1 20.08%
SPY250321C00500000 2023-01-23 1:54PM EST 500.00 15.59 13.50 17.50 0.00 - 4 22 20.30%
SPY250321C00505000 2023-01-24 1:18PM EST 505.00 13.95 11.00 16.00 -1.05 -7.00% 2 20 19.99%
SPY250321C00510000 2023-01-03 12:46PM EST 510.00 12.32 10.00 15.00 0.00 - 1 2 19.91%
SPY250321C00515000 2022-12-15 1:49PM EST 515.00 14.66 9.00 18.50 0.00 - - 0 22.20%
SPY250321C00520000 2023-01-23 11:04AM EST 520.00 10.80 9.60 13.00 0.00 - 2 9 19.67%
SPY250321C00525000 2023-01-24 3:46PM EST 525.00 9.30 7.00 12.00 -0.70 -7.00% 3 3 19.50%
SPY250321C00545000 2022-12-15 3:16PM EST 545.00 10.50 6.43 11.25 0.00 - 2 11 20.61%
SPY250321C00550000 2023-01-18 10:45AM EST 550.00 6.25 4.50 7.00 0.00 - 5 3 18.09%
SPY250321C00555000 2022-12-15 2:59PM EST 555.00 9.00 4.10 12.00 0.00 - - 1 21.81%
SPY250321C00570000 2023-01-19 9:30AM EST 570.00 0.95 2.00 7.00 0.00 - 2 1 19.43%
