400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJanuary 26, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230126C00340000 2023-01-20 10:36AM EST 340.00 51.13 60.62 61.70 0.00 - 40 40 140.43%
SPY230126C00346000 2023-01-18 4:08PM EST 346.00 45.85 54.62 55.70 0.00 - - 1 128.27%
SPY230126C00360000 2023-01-20 2:19PM EST 360.00 33.86 40.63 41.71 0.00 - 2 1 100.15%
SPY230126C00363000 2023-01-24 10:38AM EST 363.00 36.06 37.63 38.72 -0.69 -1.88% 12 7 94.19%
SPY230126C00364000 2023-01-19 1:00PM EST 364.00 25.00 36.63 37.72 0.00 - - 0 92.14%
SPY230126C00365000 2023-01-24 11:39AM EST 365.00 35.43 35.63 36.76 +9.45 +36.37% 600 3 90.53%
SPY230126C00367000 2023-01-20 1:43PM EST 367.00 26.10 33.63 34.76 0.00 - 2 1 86.43%
SPY230126C00370000 2023-01-19 9:36AM EST 370.00 20.00 30.64 31.73 0.00 - 3 5 80.03%
SPY230126C00371000 2023-01-23 10:19AM EST 371.00 27.91 29.64 30.77 0.00 - 1 2 78.37%
SPY230126C00372000 2023-01-23 3:32PM EST 372.00 27.98 28.64 29.73 0.00 - 1 4 75.88%
SPY230126C00375000 2023-01-24 10:03AM EST 375.00 23.75 25.65 26.73 +2.65 +12.56% 1 7 69.73%
SPY230126C00376000 2023-01-20 3:19PM EST 376.00 19.85 24.65 25.74 0.00 - 50 50 67.72%
SPY230126C00377000 2023-01-20 11:35AM EST 377.00 15.63 23.65 24.77 0.00 - 10 6 65.87%
SPY230126C00378000 2023-01-24 3:35PM EST 378.00 22.06 22.65 23.74 -1.35 -5.77% 39 7 63.48%
SPY230126C00379000 2023-01-24 11:31AM EST 379.00 21.49 21.66 22.74 +8.49 +65.31% 40 62 61.43%
SPY230126C00380000 2023-01-24 4:00PM EST 380.00 20.70 20.66 21.75 +2.38 +12.99% 14 102 59.38%
SPY230126C00381000 2023-01-24 3:39PM EST 381.00 19.10 19.66 20.75 -2.27 -10.62% 28 53 57.23%
SPY230126C00382000 2023-01-24 2:14PM EST 382.00 18.28 18.67 19.76 +1.63 +9.79% 3 37 55.23%
SPY230126C00383000 2023-01-24 3:33PM EST 383.00 17.40 17.67 18.80 +0.69 +4.13% 10 31 53.35%
SPY230126C00384000 2023-01-23 3:32PM EST 384.00 16.08 16.68 17.80 0.00 - 7 446 51.22%
SPY230126C00385000 2023-01-24 4:02PM EST 385.00 17.00 15.69 16.77 +2.63 +18.30% 24 829 56.47%
SPY230126C00386000 2023-01-24 3:43PM EST 386.00 13.65 14.70 15.78 -0.05 -0.36% 37 2,702 54.18%
SPY230126C00387000 2023-01-24 3:46PM EST 387.00 12.68 13.71 14.79 -0.99 -7.24% 10 3,351 51.83%
SPY230126C00388000 2023-01-24 3:58PM EST 388.00 12.69 12.72 13.84 +0.22 +1.76% 38 2,467 49.95%
SPY230126C00389000 2023-01-24 3:53PM EST 389.00 11.50 11.74 12.85 -0.17 -1.46% 38 3,493 47.53%
SPY230126C00390000 2023-01-24 4:12PM EST 390.00 11.52 10.77 11.85 +0.70 +6.47% 51 1,016 44.97%
SPY230126C00391000 2023-01-24 4:01PM EST 391.00 10.95 9.81 10.89 +1.78 +19.41% 119 2,192 42.80%
SPY230126C00392000 2023-01-24 4:01PM EST 392.00 9.21 8.86 9.94 +0.81 +9.64% 106 2,355 40.67%
