400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforFebruary 3, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230203C00275000 2023-01-12 3:19PM EST 275.00 122.16 125.81 126.93 0.00 - 1 10 130.03%
SPY230203C00280000 2023-01-12 3:19PM EST 280.00 117.26 120.81 121.93 0.00 - - 1 124.71%
SPY230203C00290000 2023-01-06 9:32AM EST 290.00 93.29 110.83 111.95 0.00 - 1 10 114.70%
SPY230203C00300000 2023-01-23 2:05PM EST 300.00 102.00 100.85 101.97 0.00 - 20 23 104.88%
SPY230203C00315000 2023-01-23 10:44AM EST 315.00 84.72 85.89 87.01 0.00 - 1 0 90.65%
SPY230203C00320000 2023-01-20 10:32AM EST 320.00 71.50 80.90 82.02 0.00 - 3 12 85.91%
SPY230203C00330000 2023-01-18 11:51AM EST 330.00 65.10 70.94 72.04 0.00 - 10 10 76.66%
SPY230203C00335000 2023-01-18 9:34AM EST 335.00 64.93 65.93 67.05 0.00 - 1 11 71.85%
SPY230203C00340000 2023-01-17 9:32AM EST 340.00 59.70 60.97 62.07 0.00 - 16 19 67.46%
SPY230203C00342000 2023-01-11 1:12PM EST 342.00 52.85 58.96 60.08 0.00 - - 2 65.53%
SPY230203C00344000 2022-12-29 1:37PM EST 344.00 42.10 56.96 58.08 0.00 - - 0 63.62%
SPY230203C00345000 2023-01-06 11:52AM EST 345.00 43.27 55.97 57.09 0.00 - 11 11 62.79%
SPY230203C00348000 2023-01-13 4:02PM EST 348.00 51.40 53.00 54.10 0.00 - - 0 60.13%
SPY230203C00349000 2022-12-28 1:13PM EST 349.00 34.12 51.98 53.10 0.00 - - 0 59.08%
SPY230203C00350000 2023-01-24 3:59PM EST 350.00 51.20 51.01 52.11 -1.57 -2.98% 102 467 58.33%
SPY230203C00351000 2023-01-23 9:54AM EST 351.00 47.65 49.99 51.11 0.00 - 1 2 57.28%
SPY230203C00352000 2023-01-23 9:54AM EST 352.00 46.65 49.02 50.12 0.00 - 1 12 56.52%
SPY230203C00354000 2023-01-12 10:57AM EST 354.00 43.24 47.03 48.15 0.00 - 25 25 54.81%
SPY230203C00355000 2023-01-23 12:25PM EST 355.00 46.43 46.02 47.13 0.00 - 6 348 53.70%
SPY230203C00357000 2023-01-23 10:44AM EST 357.00 42.93 44.05 45.15 0.00 - 1 1 52.03%
SPY230203C00358000 2023-01-19 10:11AM EST 358.00 32.33 43.04 44.15 0.00 - - 4 51.00%
SPY230203C00359000 2023-01-12 4:07PM EST 359.00 39.23 42.05 43.16 0.00 - 1 4 50.15%
SPY230203C00360000 2023-01-24 1:36PM EST 360.00 41.08 41.05 42.17 +1.01 +2.52% 5 35 54.04%
SPY230203C00361000 2023-01-23 11:23AM EST 361.00 41.39 40.06 41.18 0.00 - 1 15 53.10%
SPY230203C00362000 2023-01-23 11:07AM EST 362.00 40.14 39.10 40.21 0.00 - 2 12 52.30%
SPY230203C00364000 2023-01-11 1:09PM EST 364.00 31.63 37.10 38.21 0.00 - 4 5 50.24%
SPY230203C00365000 2023-01-24 11:16AM EST 365.00 35.62 36.11 37.22 +7.73 +27.72% 31 47 49.28%
SPY230203C00366000 2023-01-20 1:20PM EST 366.00 26.49 35.15 36.25 0.00 - 3 1 48.46%
SPY230203C00367000 2023-01-20 3:16PM EST 367.00 29.70 34.14 35.24 0.00 - 5 10 47.34%
SPY230203C00368000 2023-01-20 11:18AM EST 368.00 24.93 33.18 34.27 0.00 - 2 6 46.51%
SPY230203C00369000 2023-01-20 9:48AM EST 369.00 22.00 32.20 33.30 0.00 - 1 27 45.68%
SPY230203C00370000 2023-01-24 11:15AM EST 370.00 31.00 31.22 32.31 -2.41 -7.21% 67 236 44.69%
SPY230203C00371000 2023-01-23 10:55AM EST 371.00 29.78 30.25 31.34 0.00 - 1 64 43.84%
SPY230203C00372000 2023-01-24 9:31AM EST 372.00 27.50 29.25 30.34 -3.98 -12.64% 1 103 42.77%
SPY230203C00373000 2023-01-24 10:47AM EST 373.00 27.71 28.30 29.39 +3.57 +14.79% 2 53 42.03%
SPY230203C00374000 2023-01-23 11:37AM EST 374.00 27.74 27.34 28.42 0.00 - 2 128 41.15%
SPY230203C00375000 2023-01-24 12:11PM EST 375.00 26.24 26.38 27.46 -0.83 -3.07% 11 396 40.32%
SPY230203C00376000 2023-01-23 10:49AM EST 376.00 25.04 25.43 26.50 0.00 - 10 539 39.47%
SPY230203C00377000 2023-01-23 10:12AM EST 377.00 22.90 24.48 25.54 0.00 - 21 323 38.61%
SPY230203C00377500 2023-01-24 11:40AM EST 377.50 23.72 24.00 25.06 +8.17 +52.54% 6 1,334 38.17%
SPY230203C00378000 2023-01-23 3:39PM EST 378.00 23.13 23.53 24.59 0.00 - 21 1,620 37.79%
SPY230203C00379000 2023-01-24 11:31AM EST 379.00 22.49 22.60 23.64 +0.27 +1.22% 40 2,843 36.96%
SPY230203C00380000 2023-01-24 4:09PM EST 380.00 22.58 21.67 22.70 +1.57 +7.47% 9 3,073 36.18%
SPY230203C00381000 2023-01-24 1:47PM EST 381.00 21.39 20.74 21.77 -1.50 -6.55% 2 1,890 35.43%
SPY230203C00382000 2023-01-24 3:08PM EST 382.00 20.09 19.83 20.84 -1.28 -5.99% 10 2,382 34.64%
SPY230203C00382500 2023-01-23 12:44PM EST 382.50 20.16 19.38 20.38 0.00 - 2 1,605 34.27%
SPY230203C00383000 2023-01-24 3:40PM EST 383.00 18.12 18.93 19.93 -0.58 -3.10% 12 1,287 33.95%
SPY230203C00384000 2023-01-24 2:01PM EST 384.00 18.14 18.04 19.02 -1.70 -8.57% 16 3,027 33.22%
SPY230203C00385000 2023-01-24 4:03PM EST 385.00 18.00 17.16 18.12 +0.83 +4.83% 48 4,538 32.51%
SPY230203C00386000 2023-01-24 2:01PM EST 386.00 16.38 16.29 17.22 -0.28 -1.68% 6 2,426 31.78%
SPY230203C00387000 2023-01-24 2:06PM EST 387.00 15.18 15.44 16.37 -0.34 -2.19% 17 2,193 31.24%
SPY230203C00387500 2023-01-24 9:30AM EST 387.50 13.97 15.02 15.94 +2.26 +19.30% 1 3,321 30.93%
SPY230203C00388000 2023-01-24 3:22PM EST 388.00 14.64 14.60 15.49 -0.04 -0.27% 9 3,907 30.53%
SPY230203C00389000 2023-01-24 2:14PM EST 389.00 13.45 13.78 14.66 -0.63 -4.47% 31 3,086 30.00%
SPY230203C00390000 2023-01-24 3:58PM EST 390.00 13.05 13.00 13.78 -0.32 -2.39% 405 9,326 29.20%
SPY230203C00391000 2023-01-24 3:45PM EST 391.00 11.41 12.21 12.97 -0.73 -6.01% 15 2,705 28.66%
SPY230203C00392000 2023-01-24 3:52PM EST 392.00 11.25 11.42 12.21 -0.26 -2.26% 84 1,998 28.28%
SPY230203C00392500 2023-01-24 4:09PM EST 392.50 11.76 11.06 11.78 -0.61 -4.93% 20 1,821 27.86%
SPY230203C00393000 2023-01-24 4:01PM EST 393.00 11.46 10.90 11.40 +0.45 +4.09% 26 2,419 27.64%
SPY230203C00394000 2023-01-24 3:39PM EST 394.00 9.55 9.96 10.68 -0.48 -4.79% 32 3,380 27.30%
SPY230203C00395000 2023-01-24 4:02PM EST 395.00 9.94 9.23 9.95 +0.52 +5.52% 853 14,862 26.84%
SPY230203C00396000 2023-01-24 4:06PM EST 396.00 9.08 8.57 9.21 +0.29 +3.30% 228 3,152 26.28%
SPY230203C00397000 2023-01-24 4:01PM EST 397.00 8.23 7.92 8.56 +0.23 +2.87% 1,228 2,576 25.99%
SPY230203C00397500 2023-01-24 3:45PM EST 397.50 7.00 7.60 8.19 -0.58 -7.65% 1,075 2,291 25.65%
SPY230203C00398000 2023-01-24 4:13PM EST 398.00 7.62 7.58 7.65 +0.31 +4.24% 2,435 5,197 24.63%
SPY230203C00399000 2023-01-24 4:11PM EST 399.00 7.25 6.96 7.03 +0.51 +7.57% 4,050 5,360 24.30%
SPY230203C00400000 2023-01-24 4:14PM EST 400.00 6.36 6.37 6.42 +0.17 +2.75% 5,071 10,262 23.92%
SPY230203C00401000 2023-01-24 4:14PM EST 401.00 5.83 5.80 5.86 +0.16 +2.82% 4,076 5,126 23.63%
SPY230203C00402000 2023-01-24 4:14PM EST 402.00 5.23 5.27 5.31 +0.11 +2.15% 2,489 6,820 23.29%
SPY230203C00403000 2023-01-24 4:08PM EST 403.00 4.93 4.76 4.81 +0.29 +6.25% 2,378 6,181 23.04%
SPY230203C00404000 2023-01-24 4:14PM EST 404.00 4.28 4.28 4.33 +0.16 +3.88% 2,301 5,926 22.75%
SPY230203C00405000 2023-01-24 4:14PM EST 405.00 3.82 3.83 3.87 +0.10 +2.69% 3,733 5,917 22.44%
SPY230203C00406000 2023-01-24 4:06PM EST 406.00 3.57 3.41 3.45 +0.14 +4.08% 2,369 6,905 22.17%
SPY230203C00407000 2023-01-24 4:08PM EST 407.00 3.14 3.02 3.05 +0.22 +7.53% 2,215 4,675 21.88%
SPY230203C00408000 2023-01-24 4:14PM EST 408.00 2.67 2.66 2.70 +0.07 +2.69% 1,579 4,958 21.67%
SPY230203C00409000 2023-01-24 4:12PM EST 409.00 2.44 2.33 2.36 +0.19 +8.44% 2,854 2,450 21.39%
SPY230203C00410000 2023-01-24 4:13PM EST 410.00 2.05 2.02 2.06 +0.11 +5.67% 7,879 21,521 21.17%
SPY230203C00411000 2023-01-24 3:57PM EST 411.00 1.63 1.75 1.79 -0.07 -4.12% 628 15,572 20.96%
SPY230203C00412000 2023-01-24 4:11PM EST 412.00 1.60 1.50 1.54 +0.12 +8.11% 1,283 1,994 20.73%
SPY230203C00413000 2023-01-24 4:06PM EST 413.00 1.35 1.28 1.32 +0.02 +1.50% 1,777 2,081 20.52%
SPY230203C00414000 2023-01-24 4:14PM EST 414.00 1.10 1.09 1.12 +0.01 +0.92% 2,417 2,807 20.30%
SPY230203C00415000 2023-01-24 4:04PM EST 415.00 1.00 0.92 0.95 +0.08 +8.70% 907 5,535 20.13%
SPY230203C00416000 2023-01-24 4:01PM EST 416.00 0.76 0.77 0.80 -0.04 -5.00% 561 2,056 19.95%
SPY230203C00417000 2023-01-24 4:01PM EST 417.00 0.73 0.64 0.67 +0.07 +10.61% 692 1,388 19.80%
SPY230203C00418000 2023-01-24 3:52PM EST 418.00 0.48 0.54 0.56 -0.07 -12.73% 392 1,434 19.67%
