400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforApril 21, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230421C00150000 2023-01-11 2:26PM EST 150.00 244.90 251.04 252.98 0.00 - 1 66 111.16%
SPY230421C00155000 2022-12-01 10:55AM EST 155.00 252.06 228.80 230.16 0.00 - - 36 0.00%
SPY230421C00160000 2022-12-01 11:30AM EST 160.00 247.04 223.86 225.21 0.00 - - 2 0.00%
SPY230421C00165000 2022-12-01 10:49AM EST 165.00 241.92 218.92 220.27 0.00 - - 0 0.00%
SPY230421C00170000 2022-12-01 11:31AM EST 170.00 237.22 213.98 215.33 0.00 - - 45 0.00%
SPY230421C00175000 2023-01-11 3:28PM EST 175.00 221.20 226.23 228.16 0.00 - 1 1 96.91%
SPY230421C00180000 2022-12-05 10:47AM EST 180.00 224.13 206.72 208.10 0.00 - 2 0 0.00%
SPY230421C00185000 2022-12-05 10:40AM EST 185.00 218.90 201.78 203.19 0.00 - 2 71 0.00%
SPY230421C00190000 2022-12-01 12:31PM EST 190.00 218.08 194.23 195.58 0.00 - - 22 0.00%
SPY230421C00195000 2022-12-01 10:45AM EST 195.00 211.79 189.30 190.65 0.00 - - 84 0.00%
SPY230421C00200000 2022-12-30 9:31AM EST 200.00 183.00 201.42 203.35 0.00 - 5 6 84.36%
SPY230421C00205000 2022-12-01 12:29PM EST 205.00 203.08 179.44 180.78 0.00 - - 7 0.00%
SPY230421C00210000 2023-01-20 2:28PM EST 210.00 185.48 191.51 193.44 0.00 - 3 1 79.81%
SPY230421C00220000 2023-01-20 10:03AM EST 220.00 171.36 181.60 183.52 0.00 - 1 8 75.37%
SPY230421C00225000 2023-01-05 10:47AM EST 225.00 157.74 176.65 178.57 0.00 - - 3 73.24%
SPY230421C00230000 2023-01-20 10:03AM EST 230.00 161.61 171.70 173.62 0.00 - 1 2 71.16%
SPY230421C00250000 2023-01-20 1:13PM EST 250.00 143.65 151.92 153.83 0.00 - 2 4 63.15%
SPY230421C00260000 2023-01-20 3:21PM EST 260.00 137.43 142.04 143.96 0.00 - 1 5 59.36%
SPY230421C00275000 2023-01-06 10:14AM EST 275.00 111.22 127.26 129.16 0.00 - 3 3 53.89%
SPY230421C00280000 2023-01-04 11:55AM EST 280.00 109.03 122.34 124.24 0.00 - - 2 52.14%
SPY230421C00285000 2023-01-23 1:50PM EST 285.00 119.89 117.42 119.32 0.00 - 2 2 50.38%
SPY230421C00290000 2023-01-04 11:28AM EST 290.00 97.48 112.51 114.41 0.00 - 1 4 52.07%
SPY230421C00295000 2023-01-11 3:46PM EST 295.00 102.48 107.62 109.51 0.00 - 1 20 50.25%
SPY230421C00300000 2023-01-23 1:52PM EST 300.00 105.01 102.73 104.62 0.00 - 92 951 48.47%
SPY230421C00305000 2022-12-30 3:51PM EST 305.00 81.80 97.86 99.74 0.00 - 2 141 46.72%
SPY230421C00310000 2023-01-20 12:38PM EST 310.00 85.27 93.00 94.87 0.00 - 1 108 44.99%
SPY230421C00315000 2022-12-05 10:40AM EST 315.00 93.14 75.49 75.84 0.00 - 2 86 0.00%
SPY230421C00320000 2023-01-06 2:00PM EST 320.00 71.75 83.36 85.21 0.00 - 109 129 41.72%
SPY230421C00325000 2023-01-23 10:51AM EST 325.00 78.45 78.57 80.41 0.00 - 2 215 40.13%
SPY230421C00330000 2023-01-24 10:38AM EST 330.00 72.79 73.82 75.64 -2.66 -3.53% 3 32 38.58%
SPY230421C00335000 2023-01-06 2:39PM EST 335.00 59.45 69.10 70.90 0.00 - 1 13 37.07%
SPY230421C00340000 2023-01-20 1:50PM EST 340.00 58.45 64.42 66.19 0.00 - 55 115 35.59%
SPY230421C00345000 2023-01-24 11:38AM EST 345.00 59.98 59.79 61.53 +4.46 +8.03% 1 159 34.16%
SPY230421C00350000 2023-01-24 4:01PM EST 350.00 56.00 55.23 56.93 +8.02 +16.72% 4 349 32.78%
SPY230421C00355000 2023-01-24 9:36AM EST 355.00 49.44 50.73 52.39 +1.84 +3.87% 1 2,349 31.45%
SPY230421C00360000 2023-01-24 12:10PM EST 360.00 46.55 46.32 47.93 -0.32 -0.68% 2 1,238 30.16%
SPY230421C00365000 2023-01-24 2:25PM EST 365.00 41.87 42.00 43.56 -1.23 -2.85% 4 203 28.94%
SPY230421C00370000 2023-01-23 1:30PM EST 370.00 39.73 37.79 39.28 0.00 - 28 461 27.73%
SPY230421C00375000 2023-01-24 9:52AM EST 375.00 33.47 33.70 35.12 -1.32 -3.79% 2 448 26.58%
SPY230421C00379000 2023-01-23 2:20PM EST 379.00 31.94 30.51 31.87 0.00 - 10 5 25.66%
