400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforMay 19, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230519C00260000 2023-01-17 10:55AM EST 260.00 141.22 142.84 145.25 0.00 - - 3 55.71%
SPY230519C00270000 2023-01-18 9:59AM EST 270.00 133.04 133.10 135.50 0.00 - 10 20 52.62%
SPY230519C00300000 2023-01-12 10:06AM EST 300.00 99.61 104.07 106.44 0.00 - 1 1 46.77%
SPY230519C00320000 2023-01-20 3:34PM EST 320.00 80.81 85.01 87.32 0.00 - 1 1 40.81%
SPY230519C00330000 2023-01-20 1:57PM EST 330.00 69.82 75.65 77.91 0.00 - 4 6 38.01%
SPY230519C00340000 2023-01-20 4:04PM EST 340.00 63.16 66.46 68.65 0.00 - 3 35 35.35%
SPY230519C00345000 2023-01-20 3:00PM EST 345.00 57.40 61.95 64.10 0.00 - 2 6 34.08%
SPY230519C00350000 2023-01-20 3:38PM EST 350.00 53.53 57.50 59.61 0.00 - 6 27 32.86%
SPY230519C00355000 2023-01-19 12:44PM EST 355.00 44.25 53.12 55.19 0.00 - 1 2 31.68%
SPY230519C00360000 2023-01-20 1:56PM EST 360.00 43.72 48.84 50.85 0.00 - 5 13 30.54%
SPY230519C00363000 2023-01-13 9:57AM EST 363.00 43.19 46.31 48.28 0.00 - - 1 29.86%
SPY230519C00365000 2023-01-23 2:14PM EST 365.00 46.40 44.64 46.59 0.00 - 2 85 29.42%
SPY230519C00367000 2023-01-19 12:10PM EST 367.00 34.85 42.99 44.92 0.00 - - 1 29.00%
SPY230519C00370000 2023-01-24 2:40PM EST 370.00 41.10 40.55 42.43 -0.53 -1.27% 17 99 28.35%
SPY230519C00371000 2023-01-09 9:36AM EST 371.00 34.72 39.74 41.61 0.00 - 2 1 28.13%
SPY230519C00372000 2023-01-19 4:00PM EST 372.00 32.00 38.94 40.80 0.00 - - 36 27.93%
SPY230519C00375000 2023-01-23 3:57PM EST 375.00 37.63 36.56 38.38 0.00 - 2 10 27.31%
SPY230519C00376000 2023-01-23 10:02AM EST 376.00 34.89 35.78 37.58 0.00 - 2 8 27.10%
SPY230519C00377000 2023-01-23 3:57PM EST 377.00 36.17 35.00 36.79 0.00 - 94 68 26.89%
SPY230519C00378000 2023-01-23 2:15PM EST 378.00 33.81 34.23 36.00 -2.17 -6.03% 2 78 26.69%
SPY230519C00379000 2023-01-24 3:36PM EST 379.00 33.51 33.47 35.22 -0.73 -2.13% 4 1,672 26.49%
SPY230519C00380000 2023-01-23 4:00PM EST 380.00 33.99 32.70 34.44 0.00 - 14 19 26.28%
SPY230519C00381000 2023-01-24 12:59PM EST 381.00 32.20 31.95 33.67 +6.50 +25.29% 4 41 26.08%
SPY230519C00382000 2023-01-23 12:01PM EST 382.00 32.82 31.19 32.90 0.00 - 2 5 25.88%
SPY230519C00384000 2023-01-11 11:52AM EST 384.00 27.50 29.71 31.38 0.00 - 1 2 25.47%
SPY230519C00385000 2023-01-24 10:54AM EST 385.00 29.43 28.97 30.63 -0.98 -3.22% 2 384 25.28%
SPY230519C00386000 2023-01-19 4:00PM EST 386.00 22.40 28.24 29.89 0.00 - 24 27 25.08%
SPY230519C00387000 2023-01-19 9:41AM EST 387.00 22.50 27.52 29.15 0.00 - 1 4 24.88%
SPY230519C00388000 2023-01-19 1:36PM EST 388.00 21.35 26.80 28.41 0.00 - 2 8 24.68%
SPY230519C00389000 2023-01-23 4:09PM EST 389.00 26.95 26.09 27.69 0.00 - 4 148 24.49%
SPY230519C00390000 2023-01-24 9:40AM EST 390.00 24.72 25.39 26.96 -1.86 -7.00% 2 1,379 24.29%
SPY230519C00391000 2023-01-23 1:22PM EST 391.00 24.10 24.69 26.25 -2.60 -9.74% 1 117 24.10%
SPY230519C00392000 2023-01-20 3:22PM EST 392.00 21.66 24.00 25.54 0.00 - 132 499 23.90%
SPY230519C00393000 2023-01-20 3:12PM EST 393.00 20.98 23.32 24.84 0.00 - 87 220 23.71%
SPY230519C00394000 2023-01-24 10:49AM EST 394.00 22.91 22.64 24.14 -2.05 -8.21% 1 189 23.51%
SPY230519C00395000 2023-01-24 1:05PM EST 395.00 22.10 21.97 23.46 -0.28 -1.25% 11 231 23.32%
SPY230519C00396000 2023-01-24 10:04AM EST 396.00 20.92 21.31 22.78 -1.47 -6.57% 5 503 23.13%
SPY230519C00397000 2023-01-24 11:04AM EST 397.00 21.32 20.65 22.10 -0.43 -1.98% 2 862 22.93%
SPY230519C00398000 2023-01-24 3:12PM EST 398.00 20.59 20.00 21.44 +0.19 +0.93% 99 560 22.75%
SPY230519C00399000 2023-01-24 3:42PM EST 399.00 19.17 20.03 20.28 -1.29 -6.30% 41 433 21.99%
SPY230519C00400000 2023-01-24 4:08PM EST 400.00 19.77 19.39 19.65 +0.22 +1.13% 248 1,068 21.83%
SPY230519C00405000 2023-01-24 4:10PM EST 405.00 16.70 16.32 16.57 -0.06 -0.36% 213 1,598 20.94%
SPY230519C00410000 2023-01-24 4:10PM EST 410.00 13.84 13.49 13.74 +0.28 +2.06% 59 1,178 20.09%
SPY230519C00415000 2023-01-24 4:07PM EST 415.00 11.19 10.93 11.17 -0.26 -2.27% 322 2,510 19.28%
SPY230519C00420000 2023-01-24 4:13PM EST 420.00 8.81 8.66 8.89 -0.28 -3.08% 312 2,283 18.50%
SPY230519C00425000 2023-01-24 3:57PM EST 425.00 6.66 6.71 6.93 -0.29 -4.17% 37 1,719 17.80%
SPY230519C00430000 2023-01-24 3:34PM EST 430.00 4.94 5.09 5.30 -0.32 -6.08% 191 2,291 17.19%
SPY230519C00435000 2023-01-24 2:43PM EST 435.00 3.77 3.78 3.98 -0.08 -2.08% 14 1,862 16.66%
SPY230519C00440000 2023-01-24 3:52PM EST 440.00 2.72 2.75 2.93 -0.26 -8.72% 55 671 16.20%
SPY230519C00445000 2023-01-24 3:31PM EST 445.00 1.98 1.97 2.13 -0.18 -8.33% 44 421 15.83%
SPY230519C00450000 2023-01-24 4:01PM EST 450.00 1.47 1.39 1.53 -0.01 -0.68% 66 273 15.53%
SPY230519C00455000 2023-01-24 3:52PM EST 455.00 1.00 0.98 1.08 -0.05 -4.76% 39 204 15.27%
