400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJuly 21, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230721C00200000 2023-01-23 1:58PM EST 200.00 205.00 202.48 205.20 0.00 - 2 4 65.69%
SPY230721C00315000 2023-01-18 1:59PM EST 315.00 87.25 92.26 94.79 0.00 - - 2 38.31%
SPY230721C00340000 2023-01-20 11:57AM EST 340.00 63.43 69.84 72.21 0.00 - 1 1 33.06%
SPY230721C00345000 2023-01-17 11:27AM EST 345.00 65.04 65.54 67.86 0.00 - 31 31 32.11%
SPY230721C00350000 2023-01-24 10:03AM EST 350.00 60.59 61.30 63.58 +6.62 +12.27% 2 8 31.19%
SPY230721C00355000 2023-01-24 12:20PM EST 355.00 58.00 57.14 59.37 +4.23 +7.87% 3 5 30.30%
SPY230721C00360000 2023-01-23 10:52AM EST 360.00 53.77 53.06 55.24 0.00 - 1 8 29.43%
SPY230721C00365000 2023-01-20 11:58AM EST 365.00 43.65 49.07 51.19 0.00 - 2 2 28.58%
SPY230721C00370000 2023-01-18 1:02PM EST 370.00 41.10 45.16 47.23 0.00 - 110 112 27.75%
SPY230721C00375000 2023-01-23 11:07AM EST 375.00 43.43 41.35 43.36 0.00 - 2 313 26.93%
SPY230721C00380000 2023-01-23 9:37AM EST 380.00 35.99 37.63 39.58 0.00 - 2 3 26.11%
SPY230721C00385000 2023-01-23 9:38AM EST 385.00 32.48 34.03 35.91 0.00 - 2 16 25.30%
