400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforSeptember 29, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230929C00255000 2022-12-23 10:54AM EST 255.00 135.02 146.50 148.77 0.00 - 1 1 38.58%
SPY230929C00260000 2022-12-02 11:56AM EST 260.00 153.93 131.15 132.73 0.00 - 20 20 0.00%
SPY230929C00275000 2022-10-10 2:11PM EST 275.00 102.11 111.91 113.21 0.00 - - 1 0.00%
SPY230929C00280000 2022-12-13 2:56PM EST 280.00 131.40 124.73 126.86 0.00 - 20 3 38.10%
SPY230929C00290000 2022-12-28 12:59PM EST 290.00 102.10 118.71 121.33 0.00 - 1 2 42.02%
SPY230929C00295000 2022-12-09 2:41PM EST 295.00 113.00 103.40 105.23 0.00 - - 24 12.11%
SPY230929C00300000 2023-01-24 12:23PM EST 300.00 110.19 109.58 112.16 0.00 - 8 261 40.02%
SPY230929C00305000 2022-10-05 2:16PM EST 305.00 91.45 87.00 89.39 0.00 - 6 6 0.00%
SPY230929C00310000 2023-01-04 2:49PM EST 310.00 86.03 100.57 103.10 0.00 - 3 23 38.09%
SPY230929C00315000 2022-11-18 2:38PM EST 315.00 96.43 84.68 86.60 0.00 - 2 2 18.59%
SPY230929C00320000 2023-01-20 11:12AM EST 320.00 85.13 91.71 94.19 0.00 - 3 23 36.25%
SPY230929C00325000 2023-01-23 3:40PM EST 325.00 87.74 87.35 89.80 0.00 - 44 88 35.37%
