400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJune 21, 2024
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY240621C00180000 2023-01-24 3:34PM EST 180.00 226.00 224.50 229.28 +5.10 +2.31% 2 138 50.62%
SPY240621C00190000 2022-12-06 10:24AM EST 190.00 213.25 194.50 199.00 0.00 - 4 8 0.00%
SPY240621C00195000 2022-11-10 12:25PM EST 195.00 207.68 203.50 208.50 0.00 - 1 1 38.97%
SPY240621C00200000 2023-01-23 10:24AM EST 200.00 207.21 206.06 211.00 0.00 - 6 38 51.57%
SPY240621C00205000 2022-10-13 12:01PM EST 205.00 170.50 201.00 206.00 0.00 - 1 1 50.07%
SPY240621C00210000 2022-11-10 12:25PM EST 210.00 194.68 190.50 195.50 0.00 - 1 3 39.73%
SPY240621C00215000 2022-09-16 2:53PM EST 215.00 182.70 155.00 160.00 0.00 - - 1 0.00%
SPY240621C00225000 2022-07-15 8:39AM EST 225.00 170.00 208.50 213.50 0.00 - 2 1 71.42%
SPY240621C00235000 2023-01-24 10:20AM EST 235.00 175.28 174.54 179.50 +11.23 +6.85% 54 2 46.00%
SPY240621C00240000 2023-01-23 12:22PM EST 240.00 172.79 170.10 175.00 0.00 - 2 4 45.18%
SPY240621C00245000 2022-11-14 12:33PM EST 245.00 170.16 165.50 170.50 0.00 - 2 0 44.36%
SPY240621C00250000 2023-01-23 10:10AM EST 250.00 160.70 161.50 166.24 0.00 - 2 25 43.79%
SPY240621C00255000 2022-12-15 9:43AM EST 255.00 156.03 151.91 161.91 0.00 - - 2 43.14%
SPY240621C00260000 2023-01-24 2:35PM EST 260.00 154.76 152.50 157.48 +3.26 +2.15% 2 25 42.37%
SPY240621C00265000 2023-01-04 1:08PM EST 265.00 136.76 148.13 153.00 0.00 - 3 64 41.54%
SPY240621C00270000 2023-01-13 1:27PM EST 270.00 142.25 144.00 148.80 0.00 - 4 18 40.98%
SPY240621C00280000 2023-01-11 2:16PM EST 280.00 132.30 135.50 140.00 0.00 - 1 588 39.44%
SPY240621C00285000 2023-01-24 2:34PM EST 285.00 133.24 131.00 135.98 +14.94 +12.63% 60 1 38.98%
SPY240621C00290000 2023-01-23 10:51AM EST 290.00 130.08 127.00 131.50 0.00 - 4 6 38.13%
SPY240621C00295000 2022-12-28 11:05AM EST 295.00 109.25 122.59 127.50 0.00 - 1 1 37.65%
SPY240621C00300000 2023-01-23 1:23PM EST 300.00 122.10 118.50 123.43 0.00 - 3 281 37.09%
SPY240621C00305000 2022-12-27 10:49AM EST 305.00 105.12 114.50 119.31 0.00 - 2 586 36.48%
SPY240621C00310000 2022-11-14 3:45PM EST 310.00 115.80 112.50 117.50 0.00 - 4 590 37.54%
SPY240621C00315000 2023-01-04 9:53AM EST 315.00 95.57 106.21 111.00 0.00 - 2 185 35.16%
SPY240621C00320000 2023-01-23 10:16AM EST 320.00 105.29 102.21 107.00 0.00 - 2 1,438 34.59%
SPY240621C00325000 2022-12-22 2:15PM EST 325.00 86.16 94.50 99.00 0.00 - 2 171 31.23%
SPY240621C00330000 2023-01-23 1:19PM EST 330.00 97.46 94.50 99.34 0.00 - 2 586 33.61%
SPY240621C00335000 2023-01-23 11:53AM EST 335.00 93.28 90.50 95.48 0.00 - 2 6 33.06%
SPY240621C00340000 2023-01-24 10:28AM EST 340.00 88.04 86.67 91.50 +0.14 +0.16% 3 273 32.42%
SPY240621C00345000 2023-01-24 11:00AM EST 345.00 85.42 83.00 87.89 +7.28 +9.32% 3 3,780 31.99%
SPY240621C00350000 2023-01-18 3:57PM EST 350.00 76.00 79.18 84.00 0.00 - 10 1,883 31.36%
SPY240621C00355000 2023-01-13 11:35AM EST 355.00 74.53 75.52 80.50 0.00 - 1 509 30.94%
SPY240621C00360000 2023-01-13 11:35AM EST 360.00 70.98 72.00 76.89 0.00 - 1 1,050 30.43%
SPY240621C00365000 2023-01-19 11:41AM EST 365.00 62.50 68.50 73.33 0.00 - 1 50 29.93%
SPY240621C00370000 2023-01-19 9:30AM EST 370.00 60.88 65.00 69.82 0.00 - 4 758 29.42%
SPY240621C00375000 2023-01-10 2:19PM EST 375.00 57.75 61.50 66.37 0.00 - 1 2,905 28.92%
SPY240621C00380000 2023-01-24 12:34PM EST 380.00 59.34 58.00 62.98 -1.10 -1.82% 2 3,301 28.42%
SPY240621C00385000 2023-01-19 3:11PM EST 385.00 51.00 55.00 59.50 0.00 - 2 2,094 27.85%
SPY240621C00390000 2023-01-20 11:02AM EST 390.00 48.21 51.50 56.36 0.00 - 3 2,721 27.43%
SPY240621C00395000 2023-01-24 2:49PM EST 395.00 50.65 48.50 53.15 +2.04 +4.20% 4 614 26.93%
SPY240621C00400000 2023-01-24 3:40PM EST 400.00 46.80 45.01 47.80 -1.20 -2.50% 6 1,893 25.26%
SPY240621C00405000 2023-01-20 3:02PM EST 405.00 41.50 42.00 46.91 0.00 - 26 1,743 25.94%
