400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforDecember 20, 2024
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY241220C00120000 2023-01-19 10:56AM EST 120.00 269.51 279.50 284.50 0.00 - 3 20 56.48%
SPY241220C00130000 2022-10-17 2:07PM EST 130.00 240.32 260.00 265.00 0.00 - 14 19 0.00%
SPY241220C00150000 2022-12-22 3:23PM EST 150.00 235.50 247.00 252.00 0.00 - 1 17 39.16%
SPY241220C00180000 2023-01-19 12:39PM EST 180.00 215.93 225.00 230.00 0.00 - 2 15 48.38%
SPY241220C00185000 2022-08-05 2:10PM EST 185.00 235.09 212.00 217.00 0.00 - 2 2 31.48%
SPY241220C00190000 2022-12-30 12:25PM EST 190.00 201.11 216.50 221.50 0.00 - 6 15 47.65%
SPY241220C00195000 2022-12-16 9:30AM EST 195.00 202.50 207.28 217.28 0.00 - 1 5 47.27%
SPY241220C00200000 2023-01-17 2:21PM EST 200.00 206.50 207.50 212.50 0.00 - 13 315 46.18%
SPY241220C00205000 2023-01-20 1:46PM EST 205.00 198.88 203.00 208.00 0.00 - 13 1,226 45.44%
SPY241220C00210000 2023-01-23 10:50AM EST 210.00 200.65 199.00 203.50 0.00 - 1 9 44.70%
SPY241220C00215000 2023-01-05 11:10AM EST 215.00 175.50 194.50 199.50 0.00 - 3 9 44.50%
SPY241220C00220000 2023-01-13 3:02PM EST 220.00 190.00 190.00 195.00 0.00 - 2 62 43.74%
SPY241220C00225000 2022-10-18 9:28AM EST 225.00 165.00 179.00 184.00 0.00 - 1 25 35.81%
SPY241220C00230000 2023-01-23 2:26PM EST 230.00 184.00 181.50 186.50 0.00 - 1 104 42.71%
SPY241220C00235000 2022-08-16 10:30AM EST 235.00 207.00 170.50 175.50 0.00 - 2 12 35.35%
SPY241220C00240000 2023-01-24 12:47PM EST 240.00 174.00 173.00 178.00 +1.00 +0.58% 1 71 41.61%
SPY241220C00245000 2022-06-01 9:17AM EST 245.00 181.15 144.00 149.50 0.00 - 1 6 0.00%
SPY241220C00250000 2023-01-23 12:35PM EST 250.00 166.00 164.50 169.00 0.00 - 4 175 40.04%
SPY241220C00255000 2022-12-27 11:26AM EST 255.00 148.50 160.00 165.00 0.00 - 3 16 39.67%
SPY241220C00260000 2022-12-22 12:23PM EST 260.00 140.00 151.00 156.00 0.00 - 1 43 35.14%
SPY241220C00265000 2022-12-08 10:48AM EST 265.00 152.99 140.50 145.50 0.00 - 3 27 29.12%
SPY241220C00270000 2022-12-12 2:52PM EST 270.00 148.77 143.00 148.00 0.00 - 1 36 34.57%
SPY241220C00275000 2022-12-29 12:08PM EST 275.00 133.56 143.50 148.50 0.00 - 5 77 37.62%
SPY241220C00280000 2023-01-19 11:30AM EST 280.00 133.00 139.50 144.50 0.00 - 8 36 37.17%
SPY241220C00285000 2022-12-14 3:10PM EST 285.00 140.00 130.77 140.77 0.00 - 1 56 36.88%
SPY241220C00290000 2022-12-22 12:42PM EST 290.00 116.04 127.00 132.00 0.00 - 8 58 33.11%
SPY241220C00295000 2022-11-22 3:04PM EST 295.00 134.00 114.50 119.00 0.00 - 2 41 26.24%
SPY241220C00300000 2023-01-23 11:52AM EST 300.00 126.00 123.00 126.00 0.00 - 2 470 33.56%
SPY241220C00305000 2022-12-20 10:22AM EST 305.00 110.00 110.50 115.50 0.00 - 1 89 28.84%
SPY241220C00310000 2023-01-19 1:05PM EST 310.00 109.23 115.50 120.50 0.00 - 1 152 34.11%
SPY241220C00315000 2023-01-17 12:51PM EST 315.00 112.66 112.00 117.00 0.00 - 44 44 33.85%
SPY241220C00320000 2023-01-06 12:54PM EST 320.00 100.25 108.00 112.58 0.00 - 30 697 33.03%
SPY241220C00325000 2023-01-23 10:31AM EST 325.00 106.25 104.50 109.00 0.00 - 9 148 32.69%
SPY241220C00330000 2023-01-24 3:48PM EST 330.00 102.00 100.50 105.50 -0.70 -0.68% 2 96 32.37%
SPY241220C00335000 2023-01-20 3:48PM EST 335.00 95.45 97.00 102.00 0.00 - 9 88 32.03%
SPY241220C00340000 2023-01-20 3:58PM EST 340.00 92.14 93.50 98.00 0.00 - 1 336 31.39%
SPY241220C00345000 2023-01-19 12:18PM EST 345.00 83.18 89.50 94.50 0.00 - 2 63 31.01%
SPY241220C00350000 2023-01-23 11:51AM EST 350.00 89.26 86.00 91.00 0.00 - 10 651 30.61%
SPY241220C00355000 2023-01-09 2:40PM EST 355.00 79.85 82.50 87.50 0.00 - 1 1,395 30.19%
SPY241220C00360000 2023-01-24 3:33PM EST 360.00 78.50 79.00 84.00 -4.40 -5.31% 3 2,845 29.75%
SPY241220C00365000 2023-01-18 12:17PM EST 365.00 75.15 76.00 81.00 0.00 - 2 1,026 29.53%
SPY241220C00370000 2023-01-24 2:09PM EST 370.00 72.49 72.50 75.98 -1.01 -1.37% 1 2,167 28.30%
SPY241220C00375000 2023-01-24 9:46AM EST 375.00 71.00 69.00 74.00 -0.09 -0.13% 1 2,022 28.54%
SPY241220C00380000 2023-01-23 2:38PM EST 380.00 69.00 66.00 71.00 0.00 - 2 1,917 28.26%
SPY241220C00385000 2023-01-18 3:39PM EST 385.00 64.50 62.50 65.68 +4.32 +7.18% 1 3,882 26.85%
SPY241220C00390000 2023-01-23 1:49PM EST 390.00 63.75 59.50 64.38 0.00 - 176 4,281 27.32%
SPY241220C00395000 2023-01-24 12:15PM EST 395.00 59.50 56.50 60.00 +2.49 +4.37% 210 4,068 26.32%
SPY241220C00400000 2023-01-24 3:41PM EST 400.00 55.25 53.50 57.00 -0.75 -1.34% 4 6,976 25.94%
SPY241220C00405000 2023-01-13 11:29AM EST 405.00 51.52 50.50 55.50 0.00 - 1 2,497 26.22%
SPY241220C00410000 2023-01-24 4:01PM EST 410.00 50.50 47.50 52.50 -0.85 -1.66% 1 2,686 25.78%
SPY241220C00415000 2023-01-23 12:26PM EST 415.00 47.90 45.00 49.88 0.00 - 15 4,374 25.49%
SPY241220C00420000 2023-01-24 12:05PM EST 420.00 44.20 43.00 47.00 -0.50 -1.12% 2 1,898 25.06%
SPY241220C00425000 2023-01-20 3:49PM EST 425.00 39.50 39.50 44.50 0.00 - 3 2,191 24.76%
